Site,Li,Сутки,Неделя,Месяц,Доступ
0-9999.ru,No,0,0,0,
0-men.ru,No,0,0,0,
00009999.ru,No,0,0,0,
001z.ru,No,0,0,0,
007help.ru,No,0,0,0,
007tur.ru,Yes,0,0,0,
01-audit.ru,No,0,0,0,
01234567890.ru,No,0,0,0,
1-zvonok.ru,No,0,0,0,
100-uspeh.ru,No,0,0,0,
100-ycpex.ru,No,0,0,0,
1000plus.ru,No,0,0,0,
100alitrend.ru,No,0,0,0,
100clients.ru,No,0,0,0,
100viagra.ru,No,0,0,0,
101-roza-kaluga.ru,No,0,0,0,
101puer.ru,Yes,0,0,4,
101turbooking.ru,No,0,0,0,
102e.ru,No,0,0,0,
103m.ru,Hide,0,0,0,
12-balov.ru,Hide,0,0,0,
16-m.ru,No,0,0,0,
1800r25.ru,No,0,0,0,
1antik.ru,No,0,0,0,
1blank.ru,No,0,0,0,
1blogs.ru,No,0,0,0,
1c-resheniya.ru,No,0,0,0,
1c-t.ru,No,0,0,0,
1chr.ru,No,0,0,0,
1cityfood.ru,No,0,0,0,
1discovery.ru,No,0,0,0,
1fruit.ru,No,0,0,0,
1g-help.ru,No,0,0,0,
1maiskoe.ru,Hide,0,0,0,
1oooooo.ru,No,0,0,0,
1oplata.ru,Hide,0,0,0,
1pdr.ru,No,0,0,0,
1prokhorov.ru,No,0,0,0,
1reset.ru,Yes,0,0,2,
1rudesign.ru,No,0,0,0,
1sel.ru,No,0,0,0,
1svetskiy.ru,No,0,0,0,
1ukl.ru,No,0,0,0,
1xsite.ru,Yes,0,0,4,
2-finta.ru,No,0,0,0,
2017-kino-online-go.ru,No,0,0,0,
2048school.ru,No,0,0,0,
2100r35.ru,No,0,0,0,
214stroy.ru,No,0,0,0,
21bus.ru,No,0,0,0,
21dayz.ru,No,0,0,0,
21vulkan.ru,No,0,0,0,
22akva.ru,No,0,0,0,
22textilestudio.ru,No,0,0,0,
22vulkan.ru,No,0,0,0,
2306.ru,No,0,0,0,
232988.ru,No,0,0,0,
235-25.ru,No,0,0,0,
235r25.ru,No,0,0,0,
23evakuator.ru,No,0,0,0,
23rem.ru,No,0,0,0,
23vulkan.ru,No,0,0,0,
2400r35.ru,No,0,0,0,
24babah.ru,No,0,0,0,
24elki.ru,No,0,0,0,
24masterok.ru,No,0,0,0,
24russ.ru,Yes,0,0,3,
24ss.ru,Hide,0,0,0,
251a.ru,No,0,0,0,
2555455.ru,No,0,0,0,
2605.ru,No,0,0,0,
265r25.ru,No,0,0,0,
26gps.ru,No,0,0,0,
2700r49.ru,No,0,0,0,
2770020.ru,Yes,2,8,50,
288500.ru,No,0,0,0,
2913913.ru,No,0,0,0,
295r25.ru,No,0,0,0,
295r29.ru,No,0,0,0,
2klen2016.ru,No,0,0,0,
2mobik.ru,No,0,0,0,
2xiaomi.ru,No,0,0,0,
32plus48.ru,No,0,0,0,
3300r51.ru,No,0,0,0,
33laminat.ru,No,0,0,0,
34wvvw.ru,No,0,0,0,
3565r33.ru,No,0,0,0,
35wvvw.ru,No,0,0,0,
366receptov.ru,No,0,0,0,
36wvvw.ru,No,0,0,0,
37service.ru,No,0,0,0,
37wvvw.ru,No,0,0,0,
38sharov.ru,No,0,0,0,
38wvvw.ru,No,0,0,0,
39wvvw.ru,No,0,0,0,
3d-av.ru,No,0,0,0,
3d-company.ru,No,0,0,0,
3d-life.ru,No,0,0,0,
3d-ochki-vrbox.ru,No,0,0,0,
3d-ray.ru,No,0,0,0,
3dfabprint.ru,No,0,0,0,
3dgidrus.ru,Yes,1,5,45,
3k-marketing.ru,No,0,0,0,
3tfsi.ru,No,0,0,0,
4000r57.ru,No,0,0,0,
40wvvw.ru,No,0,0,0,
41hjkqqm.ru,No,0,0,0,
41wvvw.ru,No,0,0,0,
42hjkqqm.ru,No,0,0,0,
42quadrate.ru,No,0,0,0,
42santehnik.ru,No,0,0,0,
